audiencecohort	adopter_group	lens	cohort_size	conversions_watched_video	conversion_rate	repertoire	repertoire_stddev	avg_starts	usage	usage_stdv	avg_completion_rate	all_starts	all_completes
targetablegroup_paidsoc	late after second session	all viewing	7523085	3122543	0.415061507	3.314465165	5.52004868	14.90479234	5.606959111	9.620933748	0.447524202	46540855	20828159
targetablegroup_control	late after second session	all viewing	7104893	2948128	0.414943336	3.31513184	5.525232947	14.91390231	5.610020399	9.63072326	0.447634538	43968093	19681637
targetablegroup_paiddis	late after second session	all viewing	7523225	3120696	0.414808277	3.315443093	5.524699208	14.90836499	5.608087887	9.622039194	0.447476581	46524475	20818613
holdoutgroup_paidsoc	late after second session	all viewing	418332	172568	0.412514462	3.320760512	5.515586184	14.81376617	5.575073116	9.47241869	0.444759821	2556382	1136976
holdoutgroup_control	late after second session	all viewing	416545	169783	0.407598219	3.28304365	5.361201531	14.8531125	5.617056841	9.565259572	0.447135505	2521806	1127589
holdoutgroup_braze	late after second session	all viewing	417638	170061	0.407197142	3.29283022	5.372587539	14.89635484	5.633048614	9.512256752	0.447323618	2533289	1133200
holdoutgroup_paiddis	late after second session	all viewing	418192	174415	0.417069193	3.303196399	5.431673866	14.75080698	5.555214321	9.45380562	0.445638578	2572762	1146522
targetablegroup_control	early	all viewing	4908244	1099913	0.224095012	2.624923062	4.582660534	14.02925504	5.227177483	9.520902822	0.483727973	15430960	7464387
holdoutgroup_braze	early	all viewing	230455	50159	0.217652036	2.711517375	4.288309922	14.16991966	4.979167054	9.000846454	0.446638687	710749	317448
targetablegroup_paiddis	early	all viewing	5137193	1151657	0.224180209	2.630475046	4.574337839	14.03607845	5.217557752	9.506962922	0.482019083	16164748	7791717
targetablegroup_paidsoc	early	all viewing	5137145	1151723	0.224195151	2.628833496	4.57307699	14.02871437	5.21545624	9.495048196	0.481933403	16157193	7786691
holdoutgroup_control	early	all viewing	229068	49925	0.217948382	2.740170255	4.622591228	14.01229845	4.948203355	9.00539336	0.444990022	699564	311299
holdoutgroup_paiddis	early	all viewing	228901	51810	0.226342393	2.711850994	4.36387379	14.01723605	4.96661725	8.924967225	0.443802471	726233	322304
holdoutgroup_paidsoc	early	all viewing	228949	51744	0.226006665	2.748492579	4.392078761	14.18112245	5.013072836	9.203363852	0.44608252	733788	327330
