Targetable	Cohort	adopter_group	lens	cohort_size	conversions_watched_video	conversion_rate	repertoire	repertoire_stddev	avg_starts	usage	usage_stdv	avg_completion_rate	all_starts	all_completes
holdoutgroup	control	early	all viewing	271210	58953	0.217370303	2.637592659	4.586978817	13.80157074	5.096220162	9.078712565	0.471448201	813644	383591
holdoutgroup	control	early	promoted program viewing	271210	4493	0.016566498	1.103049188	0.326646874	4.876474516	1.927773636	2.608988978	0.452761296	21910	9920
holdoutgroup	control	late after second session	all viewing	277321	110833	0.399655994	3.060676874	4.930252803	15.16533884	5.714435201	9.43549042	0.446988375	1680820	751307
holdoutgroup	control	late after second session	promoted program viewing	277321	5597	0.020182388	1.096480257	0.324125442	6.311774165	7.158366784	10.68624893	0.478783933	35327	16914
targetablegroup	control	early	all viewing	4781664	1072032	0.22419643	2.638896973	4.595273301	14.07267787	5.211459888	9.523763505	0.480505803	15086361	7249084
targetablegroup	control	early	promoted program viewing	4781664	83538	0.017470487	1.103761163	0.329517534	4.873829874	1.94851261	2.604555044	0.459300012	407150	187004
targetablegroup	control	late after second session	all viewing	4725312	1921235	0.406583735	3.082002982	5.116925242	15.1986415	5.710291211	9.554656822	0.447174368	29200162	13057564
targetablegroup	control	late after second session	promoted program viewing	4725312	96999	0.020527533	1.094248394	0.31708372	6.279796699	7.209067971	11.1108751	0.469067561	609134	285725
holdoutgroup	paiddis	early	all viewing	271077	61354	0.226334215	2.619763993	4.321445262	13.73002575	5.087638346	8.972266702	0.467758478	842392	394036
holdoutgroup	paiddis	early	promoted program viewing	271077	4886	0.018024399	1.096193205	0.316321356	4.760130986	1.866556317	2.497071053	0.451844527	23258	10509
holdoutgroup	paiddis	late after second session	all viewing	277997	113493	0.408252607	3.08486867	4.997723149	15.06319332	5.666550152	9.40792083	0.446552256	1709567	763411
holdoutgroup	paiddis	late after second session	promoted program viewing	277997	5944	0.021381526	1.094717362	0.317124184	6.179676985	7.082919751	10.78309463	0.467984319	36732	17190
targetablegroup	paiddis	early	all viewing	5052875	1133085	0.224245603	2.639238892	4.579807915	14.06294232	5.207563395	9.509792665	0.479945319	15934509	7647693
targetablegroup	paiddis	early	promoted program viewing	5052875	88415	0.017497959	1.103500537	0.329134852	4.87284963	1.947752462	2.600916299	0.459447164	430833	197945
targetablegroup	paiddis	late after second session	all viewing	5003225	2033776	0.406493012	3.082860158	5.11661665	15.19652115	5.710040757	9.548929988	0.447125216	30906320	13818995
targetablegroup	paiddis	late after second session	promoted program viewing	5003225	102608	0.020508372	1.094388352	0.317552515	6.281547248	7.210355466	11.09300688	0.468893174	644537	302219
holdoutgroup	paidsoc	early	all viewing	271211	61053	0.225112551	2.645242658	4.299226344	13.89199548	5.139144732	9.260853628	0.469975759	848148	398609
holdoutgroup	paidsoc	early	promoted program viewing	271211	4877	0.017982309	1.099036293	0.322509855	4.856059053	1.934731905	2.538004021	0.461976945	23683	10941
holdoutgroup	paidsoc	late after second session	all viewing	277913	112541	0.40495047	3.097493358	5.111346218	15.16032379	5.705765158	9.450670505	0.44628399	1706158	761431
holdoutgroup	paidsoc	late after second session	promoted program viewing	277913	5609	0.020182575	1.0968087	0.32557227	6.311820289	7.232620689	10.78025946	0.465892721	35403	16494
targetablegroup	paidsoc	early	all viewing	5052741	1133386	0.224311121	2.637861241	4.580869378	14.05412896	5.204757011	9.494766839	0.47983166	15928753	7643120
targetablegroup	paidsoc	early	promoted program viewing	5052741	88424	0.017500204	1.103342984	0.328805001	4.867547272	1.943983993	2.598785724	0.458897139	430408	197513
targetablegroup	paidsoc	late after second session	all viewing	5003309	2034728	0.406676462	3.082162825	5.110348449	15.19108647	5.707851423	9.546534575	0.44713996	30909729	13820975
targetablegroup	paidsoc	late after second session	promoted program viewing	5003309	102943	0.020574983	1.094275473	0.317084534	6.274015717	7.201784086	11.09220026	0.469005955	645866	302915
